Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-08-13,20:00 (21:00),Premier League,Matchweek 1,Fri,Away,L,0,2,Brentford,1.3,1.2,64,16479,Granit Xhaka,4-2-3-1,Michael Oliver,Match Report,
2021-08-22,16:30 (17:30),Premier League,Matchweek 2,Sun,Home,L,0,2,Chelsea,0.3,3.1,35,58729,Granit Xhaka,4-2-3-1,Paul Tierney,Match Report,
2021-08-25,20:00 (21:00),EFL Cup,Second round,Wed,Away,W,6,0,West Brom,,,75,17016,Pierre-Emerick Aubameyang,4-2-3-1,David Webb,Match Report,
2021-08-28,12:30 (13:30),Premier League,Matchweek 3,Sat,Away,L,0,5,Manchester City,0.2,4.4,20,52276,Pierre-Emerick Aubameyang,5-4-1,Martin Atkinson,Match Report,
2021-09-11,15:00 (16:00),Premier League,Matchweek 4,Sat,Home,W,1,0,Norwich City,2.7,0.7,51,58000,Pierre-Emerick Aubameyang,4-2-3-1,Michael Oliver,Match Report,
2021-09-18,15:00 (16:00),Premier League,Matchweek 5,Sat,Away,W,1,0,Burnley,1.1,1.0,54,20000,Pierre-Emerick Aubameyang,4-1-4-1,Anthony Taylor,Match Report,
2021-09-22,19:45 (20:45),EFL Cup,Third round,Wed,Home,W,3,0,AFC Wimbledon,,,62,56276,Alexandre Lacazette,4-3-2-1,Jarred Gillett,Match Report,
2021-09-26,16:30 (17:30),Premier League,Matchweek 6,Sun,Home,W,3,1,Tottenham,1.1,1.0,46,59919,Pierre-Emerick Aubameyang,4-2-3-1,Craig Pawson,Match Report,
2021-10-02,17:30 (18:30),Premier League,Matchweek 7,Sat,Away,D,0,0,Brighton,0.4,1.1,42,31266,Pierre-Emerick Aubameyang,4-2-3-1,Jonathan Moss,Match Report,
2021-10-18,20:00 (21:00),Premier League,Matchweek 8,Mon,Home,D,2,2,Crystal Palace,1.7,0.7,54,59475,Pierre-Emerick Aubameyang,4-1-4-1,Mike Dean,Match Report,
2021-10-22,20:00 (21:00),Premier League,Matchweek 9,Fri,Home,W,3,1,Aston Villa,2.7,1.4,53,59496,Pierre-Emerick Aubameyang,4-2-3-1,Craig Pawson,Match Report,
2021-10-26,19:45 (20:45),EFL Cup,Fourth round,Tue,Home,W,2,0,Leeds United,,,45,59126,Rob Holding,4-2-3-1,Andre Marriner,Match Report,
2021-10-30,12:30 (13:30),Premier League,Matchweek 10,Sat,Away,W,2,0,Leicester City,0.7,1.3,36,32209,Pierre-Emerick Aubameyang,4-4-1-1,Michael Oliver,Match Report,
2021-11-07,14:00 (16:00),Premier League,Matchweek 11,Sun,Home,W,1,0,Watford,1.6,0.5,60,59833,Pierre-Emerick Aubameyang,4-4-1-1,Kevin Friend,Match Report,
2021-11-20,17:30 (19:30),Premier League,Matchweek 12,Sat,Away,L,0,4,Liverpool,0.4,4.3,38,53092,Pierre-Emerick Aubameyang,4-4-1-1,Michael Oliver,Match Report,
