Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-08-14,15:00 (16:00),Premier League,Matchweek 1,Sat,Away,L,2,3,Watford,1.2,1.2,62,20051,Tyrone Mings,4-2-3-1,Mike Dean,Match Report,
2021-08-21,15:00 (16:00),Premier League,Matchweek 2,Sat,Home,W,2,0,Newcastle Utd,1.2,0.7,47,41964,Tyrone Mings,4-3-3,David Coote,Match Report,
2021-08-24,19:45 (20:45),EFL Cup,Second round,Tue,Away,W,6,0,Barrow,,,68,5349,Conor Hourihane,4-2-3-1,Martin Coy,Match Report,
2021-08-28,15:00 (16:00),Premier League,Matchweek 3,Sat,Home,D,1,1,Brentford,0.7,0.9,46,42045,Ezri Konsa,4-1-4-1,Peter Bankes,Match Report,
2021-09-11,17:30 (18:30),Premier League,Matchweek 4,Sat,Away,L,0,3,Chelsea,1.2,1.3,43,39969,Tyrone Mings,5-3-2,Stuart Attwell,Match Report,
2021-09-18,17:30 (18:30),Premier League,Matchweek 5,Sat,Home,W,3,0,Everton,0.8,0.7,55,41888,Tyrone Mings,5-3-2,Craig Pawson,Match Report,
2021-09-22,19:45 (20:45),EFL Cup,Third round,Wed,Away,D,1 (3),1 (4),Chelsea,,,32,35892,Ashley Young,4-2-3-1,Graham Scott,Match Report,Chelsea won on penalty kicks following extra time
2021-09-25,12:30 (13:30),Premier League,Matchweek 6,Sat,Away,W,1,0,Manchester Utd,1.0,2.2,41,72922,Tyrone Mings,3-5-2,Mike Dean,Match Report,
2021-10-03,14:00 (15:00),Premier League,Matchweek 7,Sun,Away,L,1,2,Tottenham,1.2,1.3,44,53076,Tyrone Mings,3-5-2,Chris Kavanagh,Match Report,
2021-10-16,15:00 (16:00),Premier League,Matchweek 8,Sat,Home,L,2,3,Wolves,1.0,2.0,48,41951,Tyrone Mings,3-4-1-2,Michael Oliver,Match Report,
2021-10-22,20:00 (21:00),Premier League,Matchweek 9,Fri,Away,L,1,3,Arsenal,1.4,2.7,47,59496,Tyrone Mings,3-4-1-2,Craig Pawson,Match Report,
2021-10-31,16:30 (18:30),Premier League,Matchweek 10,Sun,Home,L,1,4,West Ham,0.7,2.3,43,41874,John McGinn,4-3-3,Chris Kavanagh,Match Report,
2021-11-05,20:00 (22:00),Premier League,Matchweek 11,Fri,Away,L,0,1,Southampton,0.6,0.6,44,30178,Tyrone Mings,4-2-3-1,Andy Madley,Match Report,
2021-11-20,15:00 (17:00),Premier League,Matchweek 12,Sat,Home,W,2,0,Brighton,0.7,0.4,38,41925,Tyrone Mings,4-3-3,Anthony Taylor,Match Report,
2021-11-27,15:00 (17:00),Premier League,Matchweek 13,Sat,Away,W,2,1,Crystal Palace,0.5,1.0,36,25203,Tyrone Mings,4-3-3,Michael Salisbury,Match Report,
2021-12-01,20:15 (22:15),Premier League,Matchweek 14,Wed,Home,L,1,2,Manchester City,0.8,1.0,36,41400,Tyrone Mings,4-3-3,Mike Dean,Match Report,
2021-12-05,16:30 (18:30),Premier League,Matchweek 15,Sun,Home,W,2,1,Leicester City,2.1,1.1,41,41572,Tyrone Mings,4-3-3,Michael Oliver,Match Report,
2021-12-11,15:00 (17:00),Premier League,Matchweek 16,Sat,Away,L,0,1,Liverpool,0.2,2.2,38,53093,Tyrone Mings,4-3-3,Stuart Attwell,Match Report,
2021-12-14,19:45 (21:45),Premier League,Matchweek 17,Tue,Away,W,2,0,Norwich City,2.0,0.5,50,26836,Tyrone Mings,4-3-3,David Coote,Match Report,
2021-12-26,17:30 (19:30),Premier League,Matchweek 19,Sun,Home,L,1,3,Chelsea,0.4,2.6,42,41907,Tyrone Mings,4-3-1-2,Martin Atkinson,Match Report,
2022-01-02,14:00 (16:00),Premier League,Matchweek 21,Sun,Away,L,1,2,Brentford,0.8,0.6,55,16876,John McGinn,4-3-3,Craig Pawson,Match Report,
2022-01-10,19:55 (21:55),FA Cup,Third round proper,Mon,Away,L,0,1,Manchester Utd,,,46,72911,Tyrone Mings,4-3-3,Michael Oliver,Match Report,
2022-01-15,17:30 (19:30),Premier League,Matchweek 22,Sat,Home,D,2,2,Manchester Utd,1.9,1.0,54,41968,Tyrone Mings,4-3-3,David Coote,Match Report,
2022-01-22,12:30 (14:30),Premier League,Matchweek 23,Sat,Away,W,1,0,Everton,0.8,1.6,50,38203,Tyrone Mings,4-3-3,Craig Pawson,Match Report,
2022-02-09,20:00 (22:00),Premier League,Matchweek 24,Wed,Home,D,3,3,Leeds United,1.6,1.8,40,41927,Tyrone Mings,4-3-3,Jarred Gillett,Match Report,
2022-02-13,14:00 (16:00),Premier League,Matchweek 25,Sun,Away,L,0,1,Newcastle Utd,0.6,0.5,62,52207,Tyrone Mings,4-3-3,Craig Pawson,Match Report,
2022-02-19,15:00 (17:00),Premier League,Matchweek 26,Sat,Home,L,0,1,Watford,1.3,1.2,59,41936,Tyrone Mings,4-3-3,Robert Jones,Match Report,
2022-02-26,15:00 (17:00),Premier League,Matchweek 27,Sat,Away,W,2,0,Brighton,1.0,0.7,34,31475,Tyrone Mings,4-1-2-1-2◆,John Brooks,Match Report,
2022-03-05,15:00 (17:00),Premier League,Matchweek 28,Sat,Home,W,4,0,Southampton,2.5,1.1,38,41855,Tyrone Mings,4-3-1-2,Peter Bankes,Match Report,
2022-03-10,19:45 (21:45),Premier League,Matchweek 20,Thu,Away,W,3,0,Leeds United,1.5,0.2,49,36400,Tyrone Mings,4-3-1-2,Simon Hooper,Match Report,
2022-03-13,14:00 (16:00),Premier League,Matchweek 29,Sun,Away,L,1,2,West Ham,1.1,1.2,53,59957,Tyrone Mings,4-1-2-1-2◆,Jarred Gillett,Match Report,
2022-03-19,12:30 (14:30),Premier League,Matchweek 30,Sat,Home,L,0,1,Arsenal,0.5,1.3,47,41956,Tyrone Mings,4-3-2-1,Andy Madley,Match Report,
2022-04-02,15:00 (16:00),Premier League,Matchweek 31,Sat,Away,L,1,2,Wolves,2.1,1.3,51,31012,Tyrone Mings,4-3-1-2,Darren England,Match Report,
2022-04-09,17:30 (18:30),Premier League,Matchweek 32,Sat,Home,L,0,4,Tottenham,1.6,1.1,52,41949,Tyrone Mings,4-3-1-2,Graham Scott,Match Report,
2022-04-23,15:00 (16:00),Premier League,Matchweek 34,Sat,Away,D,0,0,Leicester City,0.9,0.3,36,32185,Tyrone Mings,4-3-2-1,Andy Madley,Match Report,
2022-04-30,15:00 (16:00),Premier League,Matchweek 35,Sat,Home,W,2,0,Norwich City,1.8,0.5,45,40290,Tyrone Mings,4-1-4-1,John Brooks,Match Report,
2022-05-07,15:00 (16:00),Premier League,Matchweek 36,Sat,Away,W,3,1,Burnley,2.1,1.9,51,20891,Tyrone Mings,4-1-2-1-2◆,David Coote,Match Report,
2022-05-10,20:00 (21:00),Premier League,Matchweek 33,Tue,Home,L,1,2,Liverpool,1.4,1.8,40,41919,Tyrone Mings,4-3-1-2,Jonathan Moss,Match Report,
2022-05-15,14:00 (15:00),Premier League,Matchweek 37,Sun,Home,D,1,1,Crystal Palace,1.0,1.4,49,41136,Tyrone Mings,4-3-1-2,Chris Kavanagh,Match Report,
2022-05-19,20:00 (21:00),Premier League,Matchweek 18,Thu,Home,D,1,1,Burnley,1.5,1.6,71,40468,Tyrone Mings,4-3-2-1,Paul Tierney,Match Report,
2022-05-22,16:00 (17:00),Premier League,Matchweek 38,Sun,Away,L,2,3,Manchester City,0.2,3.4,29,53395,Tyrone Mings,4-3-2-1,Michael Oliver,Match Report,
