Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-08-14,15:00 (16:00),Premier League,Matchweek 1,Sat,Away,W,2,1,Burnley,1.0,1.5,63,16910,Lewis Dunk,4-1-4-1,David Coote,Match Report,
2021-08-21,17:30 (18:30),Premier League,Matchweek 2,Sat,Home,W,2,0,Watford,1.3,0.5,56,29485,Lewis Dunk,4-4-1-1,Anthony Taylor,Match Report,
2021-08-24,19:45 (20:45),EFL Cup,Second round,Tue,Away,W,2,0,Cardiff City,,,54,6013,Jason Steele,4-2-3-1,James Bell,Match Report,
2021-08-28,15:00 (16:00),Premier League,Matchweek 3,Sat,Home,L,0,2,Everton,0.7,1.4,65,30548,Lewis Dunk,3-4-3,Jonathan Moss,Match Report,
2021-09-11,15:00 (16:00),Premier League,Matchweek 4,Sat,Away,W,1,0,Brentford,0.3,0.4,59,16518,Lewis Dunk,3-4-1-2,Graham Scott,Match Report,
2021-09-19,14:00 (15:00),Premier League,Matchweek 5,Sun,Home,W,2,1,Leicester City,1.7,1.6,37,31078,Lewis Dunk,4-4-2,Stuart Attwell,Match Report,
2021-09-22,19:30 (20:30),EFL Cup,Third round,Wed,Home,W,2,0,Swansea City,,,53,8838,Jason Steele,4-4-2,Michael Salisbury,Match Report,
2021-09-27,20:00 (21:00),Premier League,Matchweek 6,Mon,Away,D,1,1,Crystal Palace,0.8,1.4,53,22975,Lewis Dunk,3-4-3,Andre Marriner,Match Report,
2021-10-02,17:30 (18:30),Premier League,Matchweek 7,Sat,Home,D,0,0,Arsenal,1.1,0.4,58,31266,Lewis Dunk,3-5-2,Jonathan Moss,Match Report,
2021-10-16,15:00 (16:00),Premier League,Matchweek 8,Sat,Away,D,0,0,Norwich City,0.8,1.2,64,26777,Lewis Dunk,3-5-2,Peter Bankes,Match Report,
2021-10-23,17:30 (18:30),Premier League,Matchweek 9,Sat,Home,L,1,4,Manchester City,1.3,3.8,48,31215,Lewis Dunk,3-5-2,Kevin Friend,Match Report,
2021-10-27,19:45 (20:45),EFL Cup,Fourth round,Wed,Away,D,2 (2),2 (4),Leicester City,,,57,21163,Pascal Groß,3-4-3,Jarred Gillett,Match Report,Leicester City won on penalty kicks following extra time
2021-10-30,15:00 (16:00),Premier League,Matchweek 10,Sat,Away,D,2,2,Liverpool,1.0,1.5,42,52598,Lewis Dunk,4-2-3-1,Mike Dean,Match Report,
2021-11-06,17:30 (19:30),Premier League,Matchweek 11,Sat,Home,D,1,1,Newcastle Utd,1.5,0.3,65,31267,Lewis Dunk,4-2-3-1,David Coote,Match Report,
2021-11-20,15:00 (17:00),Premier League,Matchweek 12,Sat,Away,L,0,2,Aston Villa,0.4,0.7,62,41925,Lewis Dunk,3-5-2,Anthony Taylor,Match Report,
2021-11-27,17:30 (19:30),Premier League,Matchweek 13,Sat,Home,D,0,0,Leeds United,2.1,0.6,57,31166,Lewis Dunk,4-2-3-1,Craig Pawson,Match Report,
2021-12-01,19:30 (21:30),Premier League,Matchweek 14,Wed,Away,D,1,1,West Ham,1.3,1.3,65,59626,Lewis Dunk,4-2-3-1,Chris Kavanagh,Match Report,
2021-12-04,15:00 (17:00),Premier League,Matchweek 15,Sat,Away,D,1,1,Southampton,1.6,1.6,56,28706,Shane Duffy,3-5-2,Anthony Taylor,Match Report,
2021-12-15,19:30 (21:30),Premier League,Matchweek 17,Wed,Home,L,0,1,Wolves,1.2,1.0,59,30362,Dan Burn,4-3-3,Tony Harrington,Match Report,
2021-12-26,20:00 (22:00),Premier League,Matchweek 19,Sun,Home,W,2,0,Brentford,0.8,0.7,50,30141,Adam Lallana,4-1-2-1-2◆,Darren England,Match Report,
2021-12-29,19:30 (21:30),Premier League,Matchweek 20,Wed,Away,D,1,1,Chelsea,0.9,0.7,53,40080,Adam Lallana,3-4-3,Mike Dean,Match Report,
2022-01-02,14:00 (16:00),Premier League,Matchweek 21,Sun,Away,W,3,2,Everton,1.7,1.6,50,38203,Adam Lallana,4-4-2,John Brooks,Match Report,
2022-01-08,15:00 (17:00),FA Cup,Third round proper,Sat,Away,W,2,1,West Brom,,,70,8208,Shane Duffy,3-5-2,Robert Jones,Match Report,Required Extra Time
2022-01-14,20:00 (22:00),Premier League,Matchweek 22,Fri,Home,D,1,1,Crystal Palace,2.0,0.2,63,30675,Adam Lallana,4-1-2-1-2◆,Robert Jones,Match Report,
2022-01-18,20:00 (22:00),Premier League,Matchweek 24,Tue,Home,D,1,1,Chelsea,0.7,0.7,44,30880,Adam Webster,4-1-4-1,Kevin Friend,Match Report,
2022-01-23,14:00 (16:00),Premier League,Matchweek 23,Sun,Away,D,1,1,Leicester City,1.1,1.4,56,31231,Adam Webster,4-1-2-1-2◆,Martin Atkinson,Match Report,
2022-02-05,20:00 (22:00),FA Cup,Fourth round proper,Sat,Away,L,1,3,Tottenham,,,57,54697,Lewis Dunk,3-5-1-1,Stuart Attwell,Match Report,
2022-02-12,15:00 (17:00),Premier League,Matchweek 25,Sat,Away,W,2,0,Watford,1.6,0.5,64,20795,Lewis Dunk,3-1-4-2,Jonathan Moss,Match Report,
2022-02-15,20:15 (22:15),Premier League,Matchweek 18,Tue,Away,L,0,2,Manchester Utd,0.7,1.7,50,73012,Lewis Dunk,4-1-2-1-2◆,Peter Bankes,Match Report,
2022-02-19,15:00 (17:00),Premier League,Matchweek 26,Sat,Home,L,0,3,Burnley,0.6,0.7,68,30361,Adam Lallana,4-4-2,Kevin Friend,Match Report,
2022-02-26,15:00 (17:00),Premier League,Matchweek 27,Sat,Home,L,0,2,Aston Villa,0.7,1.0,66,31475,Lewis Dunk,3-5-2,John Brooks,Match Report,
2022-03-05,15:00 (17:00),Premier League,Matchweek 28,Sat,Away,L,1,2,Newcastle Utd,1.5,1.7,68,52214,Lewis Dunk,4-1-2-1-2◆,Martin Atkinson,Match Report,
2022-03-12,12:30 (14:30),Premier League,Matchweek 29,Sat,Home,L,0,2,Liverpool,0.5,2.2,52,31474,Lewis Dunk,4-2-3-1,Mike Dean,Match Report,
2022-03-16,19:30 (21:30),Premier League,Matchweek 16,Wed,Home,L,0,2,Tottenham,0.7,2.2,48,31144,Lewis Dunk,4-2-3-1,Robert Jones,Match Report,
2022-04-02,15:00 (16:00),Premier League,Matchweek 31,Sat,Home,D,0,0,Norwich City,2.8,0.4,63,31245,Lewis Dunk,3-4-1-2,Simon Hooper,Match Report,
2022-04-09,15:00 (16:00),Premier League,Matchweek 32,Sat,Away,W,2,1,Arsenal,0.6,1.9,36,60112,Lewis Dunk,3-5-2,David Coote,Match Report,
2022-04-16,12:30 (13:30),Premier League,Matchweek 33,Sat,Away,W,1,0,Tottenham,0.6,0.5,51,58685,Lewis Dunk,3-5-2,Craig Pawson,Match Report,
2022-04-20,20:00 (21:00),Premier League,Matchweek 30,Wed,Away,L,0,3,Manchester City,0.2,1.3,35,52226,Lewis Dunk,3-5-2,Mike Dean,Match Report,
2022-04-24,14:00 (15:00),Premier League,Matchweek 34,Sun,Home,D,2,2,Southampton,1.7,0.9,48,31335,Lewis Dunk,4-3-1-2,Robert Jones,Match Report,
2022-04-30,15:00 (16:00),Premier League,Matchweek 35,Sat,Away,W,3,0,Wolves,2.6,0.7,51,31243,Lewis Dunk,3-4-3,Simon Hooper,Match Report,
2022-05-07,17:30 (18:30),Premier League,Matchweek 36,Sat,Home,W,4,0,Manchester Utd,2.3,0.9,42,31637,Lewis Dunk,3-4-3,Andy Madley,Match Report,
2022-05-15,14:00 (15:00),Premier League,Matchweek 37,Sun,Away,D,1,1,Leeds United,2.2,1.6,50,36638,Lewis Dunk,3-4-3,Mike Dean,Match Report,
2022-05-22,16:00 (17:00),Premier League,Matchweek 38,Sun,Home,W,3,1,West Ham,1.6,0.2,50,31604,Lewis Dunk,4-3-2-1,Kevin Friend,Match Report,
