Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-08-14,12:30 (13:30),Premier League,Matchweek 1,Sat,Home,W,5,1,Leeds United,1.5,0.5,49,72732,Harry Maguire,4-2-3-1,Paul Tierney,Match Report,
2021-08-22,14:00 (15:00),Premier League,Matchweek 2,Sun,Away,D,1,1,Southampton,1.8,0.7,63,32000,Harry Maguire,4-2-3-1,Craig Pawson,Match Report,
2021-08-29,16:30 (17:30),Premier League,Matchweek 3,Sun,Away,W,1,0,Wolves,0.6,2.1,56,30621,Harry Maguire,4-2-3-1,Mike Dean,Match Report,
2021-09-11,15:00 (16:00),Premier League,Matchweek 4,Sat,Home,W,4,1,Newcastle Utd,2.5,0.4,63,72732,Harry Maguire,4-2-3-1,Anthony Taylor,Match Report,
2021-09-14,18:45,Champions Lg,Group stage,Tue,Away,L,1,2,ch Young Boys,0.5,1.4,46,31120,Harry Maguire,4-2-3-1,François Letexier,Match Report,
2021-09-19,14:00 (15:00),Premier League,Matchweek 5,Sun,Away,W,2,1,West Ham,2.0,1.6,60,60000,Harry Maguire,4-2-3-1,Martin Atkinson,Match Report,
2021-09-22,19:45 (20:45),EFL Cup,Third round,Wed,Home,L,0,1,West Ham,,,61,72568,Nemanja Matić,4-3-3,Jonathan Moss,Match Report,
2021-09-25,12:30 (13:30),Premier League,Matchweek 6,Sat,Home,L,0,1,Aston Villa,2.2,1.0,59,72922,Harry Maguire,4-2-3-1,Mike Dean,Match Report,
2021-09-29,20:00 (21:00),Champions Lg,Group stage,Wed,Home,W,2,1,es Villarreal,1.1,2.3,56,73130,Bruno Fernandes,4-2-3-1,Felix Zwayer,Match Report,
2021-10-02,12:30 (13:30),Premier League,Matchweek 7,Sat,Home,D,1,1,Everton,1.0,1.3,72,73128,Bruno Fernandes,4-2-3-1,Michael Oliver,Match Report,
2021-10-16,15:00 (16:00),Premier League,Matchweek 8,Sat,Away,L,2,4,Leicester City,1.2,2.4,51,32219,Harry Maguire,4-2-3-1,Craig Pawson,Match Report,
2021-10-20,20:00 (21:00),Champions Lg,Group stage,Wed,Home,W,3,2,it Atalanta,2.8,1.6,56,72279,Harry Maguire,4-2-3-1,Szymon Marciniak,Match Report,
2021-10-24,16:30 (17:30),Premier League,Matchweek 9,Sun,Home,L,0,5,Liverpool,1.6,3.4,38,73088,Harry Maguire,4-2-3-1,Anthony Taylor,Match Report,
2021-10-30,17:30 (18:30),Premier League,Matchweek 10,Sat,Away,W,3,0,Tottenham,1.5,1.0,42,60356,Harry Maguire,3-5-2,Stuart Attwell,Match Report,
2021-11-02,21:00 (22:00),Champions Lg,Group stage,Tue,Away,D,2,2,it Atalanta,1.1,1.5,53,14443,Harry Maguire,3-4-3,Slavko Vinčič,Match Report,
2021-11-06,12:30 (14:30),Premier League,Matchweek 11,Sat,Home,L,0,2,Manchester City,0.9,1.6,33,73086,Harry Maguire,3-5-2,Michael Oliver,Match Report,
2021-11-20,15:00 (17:00),Premier League,Matchweek 12,Sat,Away,L,1,4,Watford,1.4,2.7,61,21087,Harry Maguire,4-2-3-1,Jonathan Moss,Match Report,
2021-11-23,18:45 (19:45),Champions Lg,Group stage,Tue,Away,W,2,0,es Villarreal,1.2,0.6,49,20875,Harry Maguire,4-2-3-1,Felix Brych,Match Report,
2021-11-28,16:30 (18:30),Premier League,Matchweek 13,Sun,Away,D,1,1,Chelsea,0.9,2.7,35,40041,Bruno Fernandes,4-3-1-2,Anthony Taylor,Match Report,
2021-12-02,20:15 (22:15),Premier League,Matchweek 14,Thu,Home,W,3,2,Arsenal,1.9,1.4,44,73123,Harry Maguire,4-2-3-1,Martin Atkinson,Match Report,
2021-12-05,14:00 (16:00),Premier League,Matchweek 15,Sun,Home,W,1,0,Crystal Palace,0.9,0.5,61,73172,Harry Maguire,4-2-2-2,Craig Pawson,Match Report,
2021-12-08,20:00 (22:00),Champions Lg,Group stage,Wed,Home,D,1,1,ch Young Boys,1.2,1.3,49,73156,Nemanja Matić,4-1-4-1,Benoît Bastien,Match Report,
2021-12-11,17:30 (19:30),Premier League,Matchweek 16,Sat,Away,W,1,0,Norwich City,2.0,1.2,52,27606,Harry Maguire,4-2-2-2,Darren England,Match Report,
2021-12-27,20:00 (22:00),Premier League,Matchweek 19,Mon,Away,D,1,1,Newcastle Utd,1.6,1.3,68,52178,Harry Maguire,4-2-2-2,Craig Pawson,Match Report,
2021-12-30,20:15 (22:15),Premier League,Matchweek 20,Thu,Home,W,3,1,Burnley,2.4,1.1,57,73121,Harry Maguire,4-2-2-2,Jonathan Moss,Match Report,
2022-01-03,17:30 (19:30),Premier League,Matchweek 21,Mon,Home,L,0,1,Wolves,0.8,0.7,51,73045,Cristiano Ronaldo,4-2-2-2,Mike Dean,Match Report,
2022-01-10,19:55 (21:55),FA Cup,Third round proper,Mon,Home,W,1,0,Aston Villa,,,54,72911,Bruno Fernandes,4-2-2-2,Michael Oliver,Match Report,
2022-01-15,17:30 (19:30),Premier League,Matchweek 22,Sat,Away,D,2,2,Aston Villa,1.0,1.9,46,41968,Bruno Fernandes,4-3-3,David Coote,Match Report,
2022-01-19,20:00 (22:00),Premier League,Matchweek 17,Wed,Away,W,3,1,Brentford,2.3,2.3,56,17094,Bruno Fernandes,4-2-3-1,Andre Marriner,Match Report,
2022-01-22,15:00 (17:00),Premier League,Matchweek 23,Sat,Home,W,1,0,West Ham,1.9,0.3,57,73130,Harry Maguire,4-2-3-1,Jonathan Moss,Match Report,
2022-02-04,20:00 (22:00),FA Cup,Fourth round proper,Fri,Home,D,1 (7),1 (8),Middlesbrough,,,71,71871,Harry Maguire,4-2-3-1,Anthony Taylor,Match Report,
2022-02-08,20:00 (22:00),Premier League,Matchweek 24,Tue,Away,D,1,1,Burnley,1.8,0.4,63,21233,Harry Maguire,4-2-3-1,Mike Dean,Match Report,
2022-02-12,12:30 (14:30),Premier League,Matchweek 25,Sat,Home,D,1,1,Southampton,2.1,0.8,53,73084,Harry Maguire,4-2-3-1,Stuart Attwell,Match Report,
2022-02-15,20:15 (22:15),Premier League,Matchweek 18,Tue,Home,W,2,0,Brighton,1.7,0.7,50,73012,Harry Maguire,4-2-3-1,Peter Bankes,Match Report,
2022-02-20,14:00 (16:00),Premier League,Matchweek 26,Sun,Away,W,4,2,Leeds United,2.2,1.8,46,36715,Harry Maguire,4-2-3-1,Paul Tierney,Match Report,
2022-02-23,21:00 (22:00),Champions Lg,Round of 16,Wed,Away,D,1,1,es Atlético Madrid,0.6,1.3,62,63273,Harry Maguire,4-2-3-1,Ovidiu Hațegan,Match Report,Leg 1 of 2
2022-02-26,15:00 (17:00),Premier League,Matchweek 27,Sat,Home,D,0,0,Watford,2.8,0.6,67,73152,Bruno Fernandes,4-2-3-1,Kevin Friend,Match Report,
2022-03-06,16:30 (18:30),Premier League,Matchweek 28,Sun,Away,L,1,4,Manchester City,0.5,2.7,31,53165,Harry Maguire,4-2-3-1,Michael Oliver,Match Report,
2022-03-12,17:30 (19:30),Premier League,Matchweek 29,Sat,Home,W,3,2,Tottenham,1.0,1.5,43,73458,Harry Maguire,4-2-3-1,Jonathan Moss,Match Report,
2022-03-15,20:00 (22:00),Champions Lg,Round of 16,Tue,Home,L,0,1,es Atlético Madrid,1.0,0.5,60,73008,Harry Maguire,4-2-3-1,Slavko Vinčič,Match Report,Leg 2 of 2; Atlético Madrid won
2022-04-02,17:30 (18:30),Premier League,Matchweek 31,Sat,Home,D,1,1,Leicester City,0.9,0.8,54,73444,Harry Maguire,4-2-3-1,Andre Marriner,Match Report,
2022-04-09,12:30 (13:30),Premier League,Matchweek 32,Sat,Away,L,0,1,Everton,0.8,0.4,67,39080,Harry Maguire,4-2-3-1,Jonathan Moss,Match Report,
2022-04-16,15:00 (16:00),Premier League,Matchweek 33,Sat,Home,W,3,2,Norwich City,1.9,1.5,61,73381,Harry Maguire,4-3-3,Andy Madley,Match Report,
2022-04-19,20:00 (21:00),Premier League,Matchweek 30,Tue,Away,L,0,4,Liverpool,0.1,2.0,29,52686,Harry Maguire,3-4-3,Martin Atkinson,Match Report,
2022-04-23,12:30 (13:30),Premier League,Matchweek 34,Sat,Away,L,1,3,Arsenal,1.8,2.3,46,60223,Bruno Fernandes,4-2-3-1,Craig Pawson,Match Report,
2022-04-28,19:45 (20:45),Premier League,Matchweek 37,Thu,Home,D,1,1,Chelsea,0.5,1.9,36,73564,Bruno Fernandes,4-2-3-1,Mike Dean,Match Report,
2022-05-02,20:00 (21:00),Premier League,Matchweek 35,Mon,Home,W,3,0,Brentford,2.0,0.6,63,73482,Bruno Fernandes,4-2-3-1,Chris Kavanagh,Match Report,
2022-05-07,17:30 (18:30),Premier League,Matchweek 36,Sat,Away,L,0,4,Brighton,0.9,2.3,58,31637,Bruno Fernandes,4-2-3-1,Andy Madley,Match Report,
2022-05-22,16:00 (17:00),Premier League,Matchweek 38,Sun,Away,L,0,1,Crystal Palace,0.7,0.6,61,25434,Harry Maguire,4-2-3-1,Martin Atkinson,Match Report,
