Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-08-15,14:00 (15:00),Premier League,Matchweek 1,Sun,Away,W,4,2,Newcastle Utd,2.7,1.8,54,50673,Declan Rice,4-2-3-1,Martin Atkinson,Match Report,
2021-08-23,20:00 (21:00),Premier League,Matchweek 2,Mon,Home,W,4,1,Leicester City,2.3,0.6,52,59901,Declan Rice,4-2-3-1,Michael Oliver,Match Report,
2021-08-28,15:00 (16:00),Premier League,Matchweek 3,Sat,Home,D,2,2,Crystal Palace,1.3,1.1,47,59751,Declan Rice,4-2-3-1,Stuart Attwell,Match Report,
2021-09-11,15:00 (16:00),Premier League,Matchweek 4,Sat,Away,D,0,0,Southampton,0.7,0.7,58,30000,Declan Rice,4-2-3-1,David Coote,Match Report,
2021-09-16,18:45,Europa Lg,Group stage,Thu,Away,W,2,0,hr Dinamo Zagreb,1.9,0.4,50,12344,Declan Rice,4-2-3-1,Ruddy Buquet,Match Report,
2021-09-19,14:00 (15:00),Premier League,Matchweek 5,Sun,Home,L,1,2,Manchester Utd,1.6,2.0,40,60000,Declan Rice,4-4-2,Martin Atkinson,Match Report,
2021-09-22,19:45 (20:45),EFL Cup,Third round,Wed,Away,W,1,0,Manchester Utd,,,39,72568,Mark Noble,4-2-3-1,Jonathan Moss,Match Report,
2021-09-25,15:00 (16:00),Premier League,Matchweek 6,Sat,Away,W,2,1,Leeds United,1.6,1.2,47,36417,Declan Rice,4-2-3-1,Kevin Friend,Match Report,
2021-09-30,20:00 (21:00),Europa Lg,Group stage,Thu,Home,W,2,0,at Rapid Wien,2.6,0.5,48,50004,Mark Noble,4-2-3-1,Tobias Stieler,Match Report,
2021-10-03,14:00 (15:00),Premier League,Matchweek 7,Sun,Home,L,1,2,Brentford,1.5,1.2,59,49940,Declan Rice,4-2-3-1,Peter Bankes,Match Report,
2021-10-17,14:00 (15:00),Premier League,Matchweek 8,Sun,Away,W,1,0,Everton,1.2,0.9,61,39132,Declan Rice,4-2-3-1,Stuart Attwell,Match Report,
2021-10-21,20:00 (21:00),Europa Lg,Group stage,Thu,Home,W,3,0,be Genk,1.4,1.4,63,45980,Declan Rice,4-2-3-1,Donatas Rumšas,Match Report,
2021-10-24,14:00 (15:00),Premier League,Matchweek 9,Sun,Home,W,1,0,Tottenham,1.3,0.7,38,59924,Declan Rice,4-2-3-1,Paul Tierney,Match Report,
2021-10-27,19:45 (20:45),EFL Cup,Fourth round,Wed,Home,D,0 (5),0 (3),Manchester City,,,36,60000,Mark Noble,4-2-3-1,Jonathan Moss,Match Report,West Ham won on penalty kicks following extra time
2021-10-31,16:30 (18:30),Premier League,Matchweek 10,Sun,Away,W,4,1,Aston Villa,2.3,0.7,57,41874,Declan Rice,4-2-3-1,Chris Kavanagh,Match Report,
2021-11-04,18:45 (19:45),Europa Lg,Group stage,Thu,Away,D,2,2,be Genk,2.6,1.3,50,12239,Mark Noble,4-2-3-1,Aleksandar Stavrev,Match Report,
2021-11-07,16:30 (18:30),Premier League,Matchweek 11,Sun,Home,W,3,2,Liverpool,1.0,1.2,31,59909,Declan Rice,4-2-3-1,Craig Pawson,Match Report,
2021-11-20,15:00 (17:00),Premier League,Matchweek 12,Sat,Away,L,0,1,Wolves,0.4,1.4,48,30667,Declan Rice,4-2-3-1,Mike Dean,Match Report,
2021-11-25,18:45 (19:45),Europa Lg,Group stage,Thu,Away,W,2,0,at Rapid Wien,3.7,0.8,61,,Mark Noble,4-2-3-1,Sergey Ivanov,Match Report,
2021-11-28,14:00 (16:00),Premier League,Matchweek 13,Sun,Away,L,1,2,Manchester City,0.2,2.1,32,53245,Declan Rice,4-2-3-1,Michael Oliver,Match Report,
2021-12-01,19:30 (21:30),Premier League,Matchweek 14,Wed,Home,D,1,1,Brighton,1.3,1.3,35,59626,Declan Rice,4-2-3-1,Chris Kavanagh,Match Report,
2021-12-04,12:30 (14:30),Premier League,Matchweek 15,Sat,Home,W,3,2,Chelsea,1.8,1.1,37,59942,Declan Rice,3-4-3,Andre Marriner,Match Report,
2021-12-09,20:00 (22:00),Europa Lg,Group stage,Thu,Home,L,0,1,hr Dinamo Zagreb,0.7,1.1,49,49407,Mark Noble,4-2-3-1,Maurizio Mariani,Match Report,
2021-12-12,14:00 (16:00),Premier League,Matchweek 16,Sun,Away,D,0,0,Burnley,0.8,0.8,60,18065,Declan Rice,4-2-3-1,Graham Scott,Match Report,
2021-12-15,20:00 (22:00),Premier League,Matchweek 17,Wed,Away,L,0,2,Arsenal,0.4,2.8,45,59777,Declan Rice,4-2-3-1,Anthony Taylor,Match Report,
2021-12-22,19:45 (21:45),EFL Cup,Quarter-finals,Wed,Away,L,1,2,Tottenham,,,58,40031,Declan Rice,3-4-3,Chris Kavanagh,Match Report,
2021-12-26,15:00 (17:00),Premier League,Matchweek 19,Sun,Home,L,2,3,Southampton,1.6,1.2,56,41027,Declan Rice,4-2-3-1,Kevin Friend,Match Report,
