Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-08-14,15:00 (16:00),Premier League,Matchweek 1,Sat,Away,L,0,3,Chelsea,0.2,0.7,38,38965,James McArthur,4-4-2,Jonathan Moss,Match Report,
2021-08-21,15:00 (16:00),Premier League,Matchweek 2,Sat,Home,D,0,0,Brentford,0.5,0.9,53,23091,James McArthur,4-3-3,Martin Atkinson,Match Report,
2021-08-24,19:45 (20:45),EFL Cup,Second round,Tue,Away,L,0,1,Watford,,,66,9011,Joel Ward,4-3-3,Tim Robinson,Match Report,
2021-08-28,15:00 (16:00),Premier League,Matchweek 3,Sat,Away,D,2,2,West Ham,1.1,1.3,53,59751,James McArthur,4-3-3,Stuart Attwell,Match Report,
2021-09-11,12:30 (13:30),Premier League,Matchweek 4,Sat,Home,W,3,0,Tottenham,2.1,0.1,62,26000,James McArthur,4-3-3,Jonathan Moss,Match Report,
2021-09-18,15:00 (16:00),Premier League,Matchweek 5,Sat,Away,L,0,3,Liverpool,0.6,3.1,41,52000,James McArthur,4-3-3,Andy Madley,Match Report,
2021-09-27,20:00 (21:00),Premier League,Matchweek 6,Mon,Home,D,1,1,Brighton,1.4,0.8,47,22975,Luka Milivojević,4-3-3,Andre Marriner,Match Report,
2021-10-03,14:00 (15:00),Premier League,Matchweek 7,Sun,Home,D,2,2,Leicester City,1.5,1.2,60,25000,Luka Milivojević,4-3-3,Anthony Taylor,Match Report,
2021-10-18,20:00 (21:00),Premier League,Matchweek 8,Mon,Away,D,2,2,Arsenal,0.7,1.7,46,59475,Luka Milivojević,4-2-3-1,Mike Dean,Match Report,
2021-10-23,15:00 (16:00),Premier League,Matchweek 9,Sat,Home,D,1,1,Newcastle Utd,1.9,0.3,74,24609,Luka Milivojević,4-3-3,Darren England,Match Report,
2021-10-30,15:00 (16:00),Premier League,Matchweek 10,Sat,Away,W,2,0,Manchester City,0.7,0.7,32,53014,James McArthur,4-3-3,Andre Marriner,Match Report,
2021-11-06,15:00 (17:00),Premier League,Matchweek 11,Sat,Home,W,2,0,Wolves,1.9,0.3,60,24390,James McArthur,4-3-3,Graham Scott,Match Report,
2021-11-20,15:00 (17:00),Premier League,Matchweek 12,Sat,Away,D,3,3,Burnley,1.9,1.5,60,18028,Luka Milivojević,4-3-3,Simon Hooper,Match Report,
2021-11-27,15:00 (17:00),Premier League,Matchweek 13,Sat,Home,L,1,2,Aston Villa,1.0,0.5,64,25203,Luka Milivojević,4-2-3-1,Michael Salisbury,Match Report,
2021-11-30,20:15 (22:15),Premier League,Matchweek 14,Tue,Away,L,0,1,Leeds United,1.1,1.4,39,35558,Joel Ward,4-3-3,Kevin Friend,Match Report,
2021-12-05,14:00 (16:00),Premier League,Matchweek 15,Sun,Away,L,0,1,Manchester Utd,0.5,0.9,39,73172,Wilfried Zaha,4-3-3,Craig Pawson,Match Report,
2021-12-12,16:30 (18:30),Premier League,Matchweek 16,Sun,Home,W,3,1,Everton,1.8,1.0,61,24066,Joel Ward,4-3-3,Andy Madley,Match Report,
2021-12-15,19:30 (21:30),Premier League,Matchweek 17,Wed,Home,D,2,2,Southampton,1.2,0.6,59,22861,Joel Ward,4-3-3,Simon Hooper,Match Report,
2021-12-26,15:00 (17:00),Premier League,Matchweek 19,Sun,Away,L,0,3,Tottenham,0.2,2.3,40,40539,Joel Ward,4-3-3,Jonathan Moss,Match Report,
2021-12-28,15:00 (17:00),Premier League,Matchweek 20,Tue,Home,W,3,0,Norwich City,1.9,0.9,51,24433,Joel Ward,4-3-3,Paul Tierney,Match Report,
2022-01-01,17:30 (19:30),Premier League,Matchweek 21,Sat,Home,L,2,3,West Ham,2.4,2.2,62,24351,Luka Milivojević,4-3-3,Darren England,Match Report,
2022-01-08,12:45 (14:45),FA Cup,Third round proper,Sat,Away,W,2,1,Millwall,,,57,16646,Joel Ward,4-3-3,Anthony Taylor,Match Report,
2022-01-14,20:00 (22:00),Premier League,Matchweek 22,Fri,Away,D,1,1,Brighton,0.2,2.0,37,30675,Joel Ward,4-3-3,Robert Jones,Match Report,
2022-01-23,14:00 (16:00),Premier League,Matchweek 23,Sun,Home,L,1,3,Liverpool,2.2,1.9,43,25002,Joel Ward,4-3-3,Kevin Friend,Match Report,
2022-02-05,15:00 (17:00),FA Cup,Fourth round proper,Sat,Home,W,2,0,Hartlepool Utd,,,60,22114,Luka Milivojević,4-3-3,Peter Bankes,Match Report,
2022-02-09,19:45 (21:45),Premier League,Matchweek 24,Wed,Away,D,1,1,Norwich City,1.3,0.4,70,26652,Joel Ward,4-3-3,Paul Tierney,Match Report,
2022-02-12,15:00 (17:00),Premier League,Matchweek 25,Sat,Away,D,0,0,Brentford,0.3,1.6,58,16958,Joel Ward,4-3-3,Simon Hooper,Match Report,
2022-02-19,15:00 (17:00),Premier League,Matchweek 26,Sat,Home,L,0,1,Chelsea,0.5,0.9,42,25109,James McArthur,4-2-3-1,David Coote,Match Report,
2022-02-23,19:30 (21:30),Premier League,Matchweek 18,Wed,Away,W,4,1,Watford,1.1,1.4,54,20012,Marc Guéhi,4-3-3,Andre Marriner,Match Report,
2022-02-26,15:00 (17:00),Premier League,Matchweek 27,Sat,Home,D,1,1,Burnley,1.0,0.2,59,24203,Luka Milivojević,4-3-3,Jonathan Moss,Match Report,
2022-03-01,19:30 (21:30),FA Cup,Fifth round proper,Tue,Home,W,2,1,Stoke City,,,60,23159,Marc Guéhi,4-2-3-1,Robert Jones,Match Report,
2022-03-05,15:00 (17:00),Premier League,Matchweek 28,Sat,Away,W,2,0,Wolves,2.7,0.7,37,31395,Marc Guéhi,4-2-3-1,Andy Madley,Match Report,
2022-03-14,20:00 (22:00),Premier League,Matchweek 29,Mon,Home,D,0,0,Manchester City,0.6,2.8,27,25309,Marc Guéhi,4-3-3,Martin Atkinson,Match Report,
2022-03-20,12:30 (14:30),FA Cup,Quarter-finals,Sun,Home,W,4,0,Everton,,,53,23781,Marc Guéhi,4-3-3,Stuart Attwell,Match Report,
2022-04-04,20:00 (21:00),Premier League,Matchweek 31,Mon,Home,W,3,0,Arsenal,1.5,0.8,32,25149,Marc Guéhi,4-2-3-1,Paul Tierney,Match Report,
2022-04-10,14:00 (15:00),Premier League,Matchweek 32,Sun,Away,L,1,2,Leicester City,1.4,1.0,49,31896,Marc Guéhi,4-2-3-1,Robert Jones,Match Report,
2022-04-17,16:30 (17:30),FA Cup,Semi-finals,Sun,Away,L,0,2,Chelsea,,,33,76238,James McArthur,3-5-2,Anthony Taylor,Match Report,
2022-04-20,19:45 (20:45),Premier League,Matchweek 30,Wed,Away,L,0,1,Newcastle Utd,0.5,0.9,63,51938,Marc Guéhi,4-2-3-1,Tony Harrington,Match Report,
2022-04-25,20:00 (21:00),Premier League,Matchweek 34,Mon,Home,D,0,0,Leeds United,1.9,0.5,53,25357,James McArthur,4-3-3,Darren England,Match Report,
2022-04-30,15:00 (16:00),Premier League,Matchweek 35,Sat,Away,W,2,1,Southampton,1.1,0.6,62,31359,James McArthur,4-3-3,Jarred Gillett,Match Report,
2022-05-07,15:00 (16:00),Premier League,Matchweek 36,Sat,Home,W,1,0,Watford,2.2,0.4,67,24622,Joel Ward,4-3-3,Graham Scott,Match Report,
2022-05-15,14:00 (15:00),Premier League,Matchweek 37,Sun,Away,D,1,1,Aston Villa,1.4,1.0,51,41136,Luka Milivojević,5-3-2,Chris Kavanagh,Match Report,
2022-05-19,19:45 (20:45),Premier League,Matchweek 33,Thu,Away,L,2,3,Everton,1.1,0.8,57,38448,Marc Guéhi,4-3-3,Anthony Taylor,Match Report,
2022-05-22,16:00 (17:00),Premier League,Matchweek 38,Sun,Home,W,1,0,Manchester Utd,0.6,0.7,39,25434,Joel Ward,4-3-3,Martin Atkinson,Match Report,
