Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-08-14,15:00 (16:00),Premier League,Matchweek 1,Sat,Home,W,3,2,Aston Villa,1.2,1.2,38,20051,Tom Cleverley,4-1-4-1,Mike Dean,Match Report,
2021-08-21,17:30 (18:30),Premier League,Matchweek 2,Sat,Away,L,0,2,Brighton,0.5,1.3,44,29485,Tom Cleverley,4-1-4-1,Anthony Taylor,Match Report,
2021-08-24,19:45 (20:45),EFL Cup,Second round,Tue,Home,W,1,0,Crystal Palace,,,34,9011,Ben Foster,4-3-3,Tim Robinson,Match Report,
2021-08-29,14:00 (15:00),Premier League,Matchweek 3,Sun,Away,L,0,1,Tottenham,0.8,1.0,43,57672,Craig Cathcart,4-1-4-1,Andre Marriner,Match Report,
2021-09-11,15:00 (16:00),Premier League,Matchweek 4,Sat,Home,L,0,2,Wolves,0.2,2.2,45,20019,William Troost-Ekong,4-1-4-1,Peter Bankes,Match Report,
2021-09-18,15:00 (16:00),Premier League,Matchweek 5,Sat,Away,W,3,1,Norwich City,2.4,1.0,51,26649,Tom Cleverley,4-2-3-1,Robert Jones,Match Report,
2021-09-21,19:45 (20:45),EFL Cup,Third round,Tue,Home,L,1,3,Stoke City,,,52,8421,Christian Kabasele,4-3-3,Tony Harrington,Match Report,
2021-09-25,15:00 (16:00),Premier League,Matchweek 6,Sat,Home,D,1,1,Newcastle Utd,0.9,1.9,53,20650,Tom Cleverley,4-2-3-1,Jarred Gillett,Match Report,
2021-10-02,15:00 (16:00),Premier League,Matchweek 7,Sat,Away,L,0,1,Leeds United,0.2,1.3,34,36261,Ben Foster,4-2-3-1,Simon Hooper,Match Report,
2021-10-16,12:30 (13:30),Premier League,Matchweek 8,Sat,Home,L,0,5,Liverpool,0.5,3.3,25,21085,Moussa Sissoko,5-4-1,Jonathan Moss,Match Report,
2021-10-23,15:00 (16:00),Premier League,Matchweek 9,Sat,Away,W,5,2,Everton,3.7,1.5,51,38834,Moussa Sissoko,4-1-4-1,Graham Scott,Match Report,
2021-10-30,15:00 (16:00),Premier League,Matchweek 10,Sat,Home,L,0,1,Southampton,1.0,1.8,40,20869,Moussa Sissoko,4-4-1-1,Peter Bankes,Match Report,
2021-11-07,14:00 (16:00),Premier League,Matchweek 11,Sun,Away,L,0,1,Arsenal,0.5,1.6,40,59833,Moussa Sissoko,4-1-4-1,Kevin Friend,Match Report,
2021-11-20,15:00 (17:00),Premier League,Matchweek 12,Sat,Home,W,4,1,Manchester Utd,2.7,1.4,39,21087,Moussa Sissoko,4-1-4-1,Jonathan Moss,Match Report,
2021-11-28,14:00 (16:00),Premier League,Matchweek 13,Sun,Away,L,2,4,Leicester City,2.8,2.1,44,32020,Moussa Sissoko,4-1-4-1,Andy Madley,Match Report,
