Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-08-07,17:15 (18:15),Community Shield,FA Community Shield,Sat,Neutral,W,1,0,Manchester City,,,43,,Jamie Vardy,4-2-3-1,Paul Tierney,Match Report,
2021-08-14,15:00 (16:00),Premier League,Matchweek 1,Sat,Home,W,1,0,Wolves,0.5,1.3,56,31983,Kasper Schmeichel,4-2-3-1,Craig Pawson,Match Report,
2021-08-23,20:00 (21:00),Premier League,Matchweek 2,Mon,Away,L,1,4,West Ham,0.6,2.3,48,59901,Kasper Schmeichel,4-2-3-1,Michael Oliver,Match Report,
2021-08-28,15:00 (16:00),Premier League,Matchweek 3,Sat,Away,W,2,1,Norwich City,1.5,1.5,55,26765,Kasper Schmeichel,4-4-2,Robert Jones,Match Report,
2021-09-11,15:00 (16:00),Premier League,Matchweek 4,Sat,Home,L,0,1,Manchester City,0.6,2.8,39,32087,Kasper Schmeichel,4-2-3-1,Paul Tierney,Match Report,
2021-09-16,20:00 (21:00),Europa Lg,Group stage,Thu,Home,D,2,2,it Napoli,0.7,2.1,46,29579,Kasper Schmeichel,4-3-3,Tiago Martins,Match Report,
2021-09-19,14:00 (15:00),Premier League,Matchweek 5,Sun,Away,L,1,2,Brighton,1.6,1.7,63,31078,Kasper Schmeichel,4-3-3,Stuart Attwell,Match Report,
2021-09-22,19:45 (20:45),EFL Cup,Third round,Wed,Away,W,2,0,Millwall,,,71,9985,Jonny Evans,3-5-2,Andy Madley,Match Report,
2021-09-25,15:00 (16:00),Premier League,Matchweek 6,Sat,Home,D,2,2,Burnley,2.4,0.5,66,31650,Kasper Schmeichel,4-3-3,Chris Kavanagh,Match Report,
2021-09-30,18:45,Europa Lg,Group stage,Thu,Away,L,0,1,pl Legia Warsaw,1.9,0.9,63,27087,Kasper Schmeichel,3-1-4-2,Ivan Bebek,Match Report,
2021-10-03,14:00 (15:00),Premier League,Matchweek 7,Sun,Away,D,2,2,Crystal Palace,1.2,1.5,40,25000,Kasper Schmeichel,4-4-2,Anthony Taylor,Match Report,
2021-10-16,15:00 (16:00),Premier League,Matchweek 8,Sat,Home,W,4,2,Manchester Utd,2.4,1.2,49,32219,Kasper Schmeichel,3-4-1-2,Craig Pawson,Match Report,
2021-10-20,17:30 (16:30),Europa Lg,Group stage,Wed,Away,W,4,3,ru Spartak Moscow,3.2,1.5,57,11366,Kasper Schmeichel,3-4-1-2,Anastasios Sidiropoulos,Match Report,
2021-10-24,14:00 (15:00),Premier League,Matchweek 9,Sun,Away,W,2,1,Brentford,1.5,1.0,46,16814,Kasper Schmeichel,3-4-1-2,Simon Hooper,Match Report,
2021-10-27,19:45 (20:45),EFL Cup,Fourth round,Wed,Home,D,2 (4),2 (2),Brighton,,,43,21163,Hamza Choudhury,3-4-3,Jarred Gillett,Match Report,Leicester City won on penalty kicks following extra time
2021-10-30,12:30 (13:30),Premier League,Matchweek 10,Sat,Home,L,0,2,Arsenal,1.3,0.7,64,32209,Kasper Schmeichel,3-4-1-2,Michael Oliver,Match Report,
2021-11-04,20:00 (22:00),Europa Lg,Group stage,Thu,Home,D,1,1,ru Spartak Moscow,1.8,0.3,77,30222,Kasper Schmeichel,3-5-2,Halil Umut Meler,Match Report,
2021-11-07,14:00 (16:00),Premier League,Matchweek 11,Sun,Away,D,1,1,Leeds United,0.7,1.3,44,36478,Kasper Schmeichel,4-3-3,Darren England,Match Report,
2021-11-20,12:30 (14:30),Premier League,Matchweek 12,Sat,Home,L,0,3,Chelsea,0.4,2.0,39,35497,Kasper Schmeichel,3-4-3,Paul Tierney,Match Report,
2021-11-25,20:00 (22:00),Europa Lg,Group stage,Thu,Home,W,3,1,pl Legia Warsaw,1.8,1.3,58,30658,Kasper Schmeichel,4-3-3,Deniz Aytekin,Match Report,
2021-11-28,14:00 (16:00),Premier League,Matchweek 13,Sun,Home,W,4,2,Watford,2.1,2.8,56,32020,Kasper Schmeichel,4-2-3-1,Andy Madley,Match Report,
2021-12-01,19:30 (21:30),Premier League,Matchweek 14,Wed,Away,D,2,2,Southampton,1.5,1.5,55,26951,Kasper Schmeichel,4-2-3-1,Robert Jones,Match Report,
2021-12-05,16:30 (18:30),Premier League,Matchweek 15,Sun,Away,L,1,2,Aston Villa,1.1,2.1,59,41572,Kasper Schmeichel,4-2-3-1,Michael Oliver,Match Report,
2021-12-09,18:45 (19:45),Europa Lg,Group stage,Thu,Away,L,2,3,it Napoli,2.0,1.6,53,14646,Kasper Schmeichel,4-2-3-1,Antonio Matéu Lahoz,Match Report,
