Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-08-14,17:30 (18:30),Premier League,Matchweek 1,Sat,Away,W,3,0,Norwich City,1.6,1.4,50,27023,James Milner,4-3-3,Andre Marriner,Match Report,
2021-08-21,12:30 (13:30),Premier League,Matchweek 2,Sat,Home,W,2,0,Burnley,2.7,0.9,65,52591,Jordan Henderson,4-3-3,Mike Dean,Match Report,
2021-08-28,17:30 (18:30),Premier League,Matchweek 3,Sat,Home,D,1,1,Chelsea,2.5,0.6,65,54000,Jordan Henderson,4-3-3,Anthony Taylor,Match Report,
2021-09-12,16:30 (17:30),Premier League,Matchweek 4,Sun,Away,W,3,0,Leeds United,4.3,1.2,56,36507,Virgil van Dijk,4-3-3,Craig Pawson,Match Report,
2021-09-15,20:00 (21:00),Champions Lg,Group stage,Wed,Home,W,3,2,it Milan,2.5,1.6,60,51445,Jordan Henderson,4-3-3,Szymon Marciniak,Match Report,
2021-09-18,15:00 (16:00),Premier League,Matchweek 5,Sat,Home,W,3,0,Crystal Palace,3.1,0.6,59,52000,Jordan Henderson,4-3-3,Andy Madley,Match Report,
2021-09-21,19:45 (20:45),EFL Cup,Third round,Tue,Away,W,3,0,Norwich City,,,53,26353,Joe Gomez,4-3-3,Darren England,Match Report,
2021-09-25,17:30 (18:30),Premier League,Matchweek 6,Sat,Away,D,3,3,Brentford,2.8,2.1,67,16876,Jordan Henderson,4-3-3,Stuart Attwell,Match Report,
2021-09-28,20:00 (21:00),Champions Lg,Group stage,Tue,Away,W,5,1,pt Porto,3.4,0.9,66,23520,Jordan Henderson,4-3-3,Sergey Karasev,Match Report,
2021-10-03,16:30 (17:30),Premier League,Matchweek 7,Sun,Home,D,2,2,Manchester City,0.9,1.2,49,53102,Jordan Henderson,4-3-3,Paul Tierney,Match Report,
2021-10-16,12:30 (13:30),Premier League,Matchweek 8,Sat,Away,W,5,0,Watford,3.3,0.5,75,21085,Jordan Henderson,4-3-3,Jonathan Moss,Match Report,
2021-10-19,21:00,Champions Lg,Group stage,Tue,Away,W,3,2,es Atlético Madrid,1.3,2.2,68,60725,Jordan Henderson,4-3-3,Daniel Siebert,Match Report,
2021-10-24,16:30 (17:30),Premier League,Matchweek 9,Sun,Away,W,5,0,Manchester Utd,3.4,1.6,62,73088,Jordan Henderson,4-3-3,Anthony Taylor,Match Report,
