SeasonYear,FreeKicks,Goals
17,17,3
17,15,1
17,12,4
17,18,0
17,11,1
17,16,3
17,12,1
17,16,0
17,5,1
17,10,3
17,11,4
17,11,3
17,15,1
17,13,3
17,10,5
17,12,1
17,13,0
17,7,4
17,16,3
17,10,5
17,4,2
17,7,2
17,13,4
17,8,0
17,9,3
17,16,2
17,8,2
17,9,4
17,12,2
17,11,1
17,5,5
17,10,2
17,15,0
17,14,3
17,19,2
17,16,0
17,15,0
17,9,4
18,13,4
18,12,2
18,19,1
18,13,2
18,22,2
18,14,3
18,11,1
18,16,0
18,11,1
18,4,4
18,12,1
18,12,2
18,17,3
18,8,1
18,15,3
18,15,4
18,16,3
18,8,2
18,11,4
18,16,5
18,14,1
18,17,1
18,11,4
18,7,1
18,11,1
18,11,3
18,18,0
18,11,5
18,15,0
18,10,4
18,12,2
18,11,2
18,15,3
18,11,2
18,11,2
18,18,5
18,12,3
18,12,2
19,11,4
19,15,2
19,9,3
19,16,3
19,5,3
19,14,2
19,14,1
19,23,2
19,9,1
19,14,2
19,14,2
19,18,3
19,17,2
19,15,2
19,23,5
19,6,3
19,9,2
19,7,4
19,9,1
19,12,2
19,8,1
19,15,2
19,8,2
19,9,2
19,26,4
19,7,1
19,18,3
19,7,0
19,16,2
19,16,0
19,5,4
19,11,0
19,13,2
19,13,3
19,10,1
19,16,1
19,11,5
19,13,3
20,6,4
20,11,2
20,10,3
20,9,2
20,17,2
20,18,2
20,16,2
20,20,1
20,9,3
20,13,1
20,20,4
20,15,1
20,13,2
20,10,7
20,8,1
20,14,0
20,6,0
20,9,0
20,8,0
20,10,3
20,13,3
20,9,0
20,9,1
20,11,1
20,12,0
20,13,2
20,10,0
20,12,0
20,20,1
20,11,3
20,11,2
20,27,1
20,10,1
20,10,2
20,16,4
20,16,2
20,16,3
20,9,2
21,7,3
21,16,2
21,7,1
21,11,3
21,16,3
21,10,3
21,16,2
21,5,5
21,16,5
21,8,2
21,14,2
21,13,4
21,21,4
21,11,4
21,6,1
21,9,1
21,4,3
21,18,2
21,9,0
21,11,2
21,6,3
21,14,3
21,13,2
21,12,1
21,12,3
21,11,6
21,13,1
21,19,2
21,10,2
21,11,2
21,13,2
21,8,4
21,9,2
21,11,1
21,13,1
21,12,2
21,7,2
21,6,3
