,Player,shirt_number,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks
0,Diogo Jota ,20,POR,FW,24-253,60,1,0,0,0,2,2,0,0,22,1,0,0
1,   Roberto Firmino ,9,BRA,FW,29-316,30,1,0,0,0,1,1,0,0,17,1,0,1
2,Sadio Mané ,10,SEN,LW,29-126,90,0,0,0,0,3,0,0,0,45,1,0,1
3,Mohamed Salah ,11,EGY,RW,29-060,90,1,2,0,0,5,2,0,0,35,0,0,0
4,Naby Keïta ,8,GUI,"LM,RM",26-185,82,0,0,0,0,0,0,0,0,52,6,0,2
5,   Harvey Elliott ,67,ENG,RM,18-132,8,0,0,0,0,0,0,0,0,7,0,0,0
6,James Milner ,7,ENG,"CM,LM",35-222,90,0,0,0,0,0,0,1,0,81,3,2,2
7,Alex Oxlade-Chamberlain ,15,ENG,RM,27-364,60,0,0,0,0,2,0,0,0,28,0,1,1
8,   Fabinho ,3,BRA,CM,27-295,30,0,0,0,0,0,0,0,0,25,0,0,2
9,Kostas Tsimikas ,21,GRE,LB,25-094,90,0,0,0,0,2,1,0,0,77,3,0,1
10,Virgil van Dijk ,4,NED,CB,30-037,90,0,0,0,0,1,0,0,0,95,0,0,0
11,Joël Matip ,32,CMR,CB,30-006,90,0,0,0,0,1,0,0,0,82,0,0,1
12,Trent Alexander-Arnold ,66,ENG,RB,22-311,90,0,0,0,0,2,0,0,0,66,1,2,1
13,Alisson ,1,BRA,GK,28-316,90,0,0,0,0,0,0,0,0,34,0,0,0
14,Diogo Jota ,20,POR,FW,24-260,80,1,0,0,0,3,1,0,0,32,4,0,0
15,   Roberto Firmino ,9,BRA,FW,29-323,10,0,0,0,0,1,1,0,0,10,0,0,1
16,Sadio Mané ,10,SEN,LW,29-133,90,1,0,0,0,6,4,0,0,35,0,0,1
17,Mohamed Salah ,11,EGY,RW,29-067,90,0,0,0,0,5,1,0,0,42,0,0,0
18,Naby Keïta ,8,GUI,LM,26-192,80,0,0,0,0,1,0,0,0,57,3,0,3
19,   Thiago Alcántara ,6,ESP,LM,30-132,10,0,0,0,0,1,0,0,0,18,0,0,0
20,Jordan Henderson ,14,ENG,CM,31-065,90,0,0,0,0,1,0,0,0,79,0,0,0
21,Harvey Elliott ,67,ENG,RM,18-139,90,0,0,0,0,2,0,0,0,72,0,1,0
22,Kostas Tsimikas ,21,GRE,LB,25-101,89,0,1,0,0,0,0,0,0,68,3,1,0
23,   Joe Gomez ,12,ENG,LB,24-090,1,0,0,0,0,0,0,0,0,0,0,0,0
24,Virgil van Dijk ,4,NED,CB,30-044,90,0,0,0,0,3,0,0,0,65,0,1,1
25,Joël Matip ,32,CMR,CB,30-013,90,0,0,0,0,3,0,0,0,73,2,1,0
26,Trent Alexander-Arnold ,66,ENG,RB,22-318,90,0,1,0,0,1,1,0,0,98,2,1,1
27,Alisson ,1,BRA,GK,28-323,90,0,0,0,0,0,0,0,0,53,0,0,0
28,Roberto Firmino ,9,BRA,FW,29-330,42,0,0,0,0,0,0,0,0,23,1,0,0
29,   Diogo Jota ,20,POR,FW,24-267,48,0,0,0,0,3,1,0,0,29,1,0,2
30,Sadio Mané ,10,SEN,LW,29-140,90,0,0,0,0,3,0,0,0,67,3,3,5
31,Mohamed Salah ,11,EGY,RW,29-074,90,1,0,1,1,2,1,0,0,56,0,0,0
32,Jordan Henderson ,14,ENG,LM,31-072,73,0,0,0,0,2,0,0,0,87,0,2,0
33,   Thiago Alcántara ,6,ESP,LM,30-139,17,0,0,0,0,0,0,0,0,22,1,0,0
34,Fabinho ,3,BRA,CM,27-309,90,0,0,0,0,2,1,0,0,77,2,0,0
35,Harvey Elliott ,67,ENG,RM,18-146,90,0,0,0,0,2,0,0,0,106,1,2,4
36,Andrew Robertson ,26,SCO,LB,27-170,85,0,0,0,0,1,1,0,0,80,0,2,0
37,   Kostas Tsimikas ,21,GRE,LB,25-108,5,0,0,0,0,0,0,0,0,7,0,0,1
38,Virgil van Dijk ,4,NED,CB,30-051,90,0,0,0,0,3,1,0,0,88,2,1,1
39,Joël Matip ,32,CMR,CB,30-020,90,0,0,0,0,3,0,0,0,97,3,1,2
40,Trent Alexander-Arnold ,66,ENG,RB,22-325,90,0,0,0,0,2,1,0,0,110,2,0,0
41,Alisson ,1,BRA,GK,28-330,90,0,0,0,0,0,0,0,0,26,0,0,0
42,Diogo Jota ,20,POR,FW,24-282,81,0,0,0,0,3,1,0,0,43,0,0,2
43,   Alex Oxlade-Chamberlain ,15,ENG,FW,28-028,9,0,0,0,0,0,0,0,0,7,0,0,0
44,Sadio Mané ,10,SEN,LW,29-155,90,1,0,0,0,10,2,0,0,51,0,0,1
45,Mohamed Salah ,11,EGY,RW,29-089,90,1,0,0,0,3,1,0,0,47,1,0,0
46,Thiago Alcántara ,6,ESP,LM,30-154,89,0,1,0,0,1,0,0,0,74,4,1,0
47,   Naby Keïta ,8,GUI,LM,26-214,1,0,0,0,0,0,0,0,0,4,0,0,0
48,Fabinho ,3,BRA,CM,27-324,90,1,0,0,0,3,1,1,0,51,1,5,2
49,Harvey Elliott ,67,ENG,RM,18-161,62,0,0,0,0,3,1,0,0,41,0,0,2
50,   Jordan Henderson ,14,ENG,RM,31-087,28,0,0,0,0,1,1,0,0,30,1,0,0
51,Andrew Robertson ,26,SCO,LB,27-185,90,0,0,0,0,0,0,0,0,79,1,0,0
52,Virgil van Dijk ,4,NED,CB,30-066,90,0,0,0,0,2,0,0,0,66,0,0,0
53,Joël Matip ,32,CMR,CB,30-035,90,0,0,0,0,1,0,0,0,77,0,0,0
54,Trent Alexander-Arnold ,66,ENG,RB,22-340,90,0,1,0,0,3,1,0,0,70,0,2,1
55,Alisson ,1,BRA,GK,28-345,90,0,0,0,0,0,0,0,0,44,0,0,0
56,Diogo Jota ,20,POR,FW,24-288,75,0,0,0,0,4,0,0,0,28,3,0,1
57,   Curtis Jones ,17,ENG,"LW,RM",20-231,15,0,0,0,0,1,0,0,0,7,0,0,1
58,Sadio Mané ,10,SEN,"LW,FW",29-161,90,1,0,0,0,2,1,0,0,31,2,0,0
59,Mohamed Salah ,11,EGY,RW,29-095,90,1,0,0,0,6,5,1,0,57,0,0,0
60,Thiago Alcántara ,6,ESP,LM,30-160,61,0,0,0,0,3,1,0,0,61,0,1,0
61,   Naby Keïta ,8,GUI,LM,26-220,29,1,0,0,0,2,2,0,0,9,1,0,2
62,Fabinho ,3,BRA,CM,27-330,90,0,0,0,0,2,0,0,0,71,3,2,0
63,Jordan Henderson ,14,ENG,RM,31-093,87,0,0,0,0,2,1,1,0,65,3,0,1
64,   Divock Origi ,27,BEL,LW,26-153,3,0,0,0,0,0,0,0,0,2,0,0,0
65,Kostas Tsimikas ,21,GRE,LB,25-129,90,0,0,0,0,1,0,1,0,68,3,2,1
66,Virgil van Dijk ,4,NED,CB,30-072,90,0,1,0,0,1,0,0,0,73,0,1,2
67,Ibrahima Konaté ,5,FRA,CB,22-116,90,0,0,0,0,0,0,0,0,65,2,1,2
68,James Milner ,7,ENG,RB,35-257,90,0,0,0,0,1,0,0,0,112,4,3,2
69,Alisson ,1,BRA,GK,28-351,90,0,0,0,0,0,0,0,0,33,0,0,0
70,Diogo Jota ,20,POR,"FW,RM",24-295,90,1,0,0,0,2,2,0,0,34,0,0,0
71,Sadio Mané ,10,SEN,"LW,LM",29-168,90,0,0,0,0,1,0,0,0,47,1,0,0
72,Mohamed Salah ,11,EGY,"RW,FW",29-102,90,1,0,0,0,3,1,0,0,51,0,1,0
73,Curtis Jones ,17,ENG,LM,20-238,67,1,0,0,0,4,1,0,0,52,3,0,0
74,   Roberto Firmino ,9,BRA,FW,29-358,23,0,0,0,0,0,0,0,0,12,0,0,0
75,Fabinho ,3,BRA,CM,27-337,90,0,1,0,0,0,0,0,0,65,0,2,2
76,Jordan Henderson ,14,ENG,"RM,CM",31-100,90,0,1,0,0,0,0,0,0,62,1,0,3
77,Andrew Robertson ,26,SCO,LB,27-198,90,0,1,0,0,1,0,1,0,102,0,0,0
78,Virgil van Dijk ,4,NED,CB,30-079,90,0,0,0,0,1,1,0,0,60,2,1,0
79,Joël Matip ,32,CMR,CB,30-048,90,0,0,0,0,1,0,0,0,68,0,2,3
80,Trent Alexander-Arnold ,66,ENG,RB,22-353,90,0,0,0,0,3,0,0,0,118,4,3,1
81,Alisson ,1,BRA,GK,28-358,90,0,0,0,0,0,0,0,0,31,0,0,0
82,Diogo Jota ,20,POR,FW,24-303,67,0,0,0,0,1,1,1,0,22,0,1,0
83,   Roberto Firmino ,9,BRA,FW,30-001,23,0,0,0,0,0,0,0,0,14,2,1,0
84,Sadio Mané ,10,SEN,LW,29-176,90,1,0,0,0,1,1,0,0,29,0,1,2
85,Mohamed Salah ,11,EGY,RW,29-110,90,1,1,0,0,3,1,0,0,40,4,1,0
86,Curtis Jones ,17,ENG,LM,20-246,90,0,1,0,0,0,0,0,0,50,1,0,0
87,Fabinho ,3,BRA,CM,27-345,90,0,0,0,0,1,0,1,0,44,1,0,0
88,Jordan Henderson ,14,ENG,RM,31-108,90,0,0,0,0,0,0,0,0,51,3,2,1
