,Player,shirt_number,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks
0,Odsonne Édouard ,22,FRA,FW,24-201,57,0,0,0,0,3,1,0,0,20,0,0,0
1,   Jean-Philippe Mateta ,14,FRA,FW,25-038,33,0,0,0,0,1,0,0,0,13,0,0,0
2,Wilfried Zaha ,11,CIV,LW,29-268,90,0,0,0,0,1,0,0,0,50,3,0,0
3,Jordan Ayew ,9,GHA,"RW,AM",30-328,90,0,0,0,0,1,0,0,0,43,2,0,0
4,Eberechi Eze ,10,ENG,AM,24-037,85,0,0,0,0,1,1,0,0,55,1,0,1
5,   Malcolm Ebiowei ,23,ENG,RW,18-335,5,0,0,0,0,0,0,0,0,5,0,0,0
6,Jeffrey Schlupp ,15,GHA,DM,29-225,85,0,0,0,0,3,0,0,0,53,4,1,2
7,   Will Hughes ,19,ENG,DM,27-110,5,0,0,0,0,0,0,0,0,5,0,0,0
8,Cheick Doucouré ,28,MLI,DM,22-209,74,0,0,0,0,0,0,0,0,39,1,1,1
9,   Luka Milivojević ,4,SRB,DM,31-120,16,0,0,0,0,0,0,0,0,17,0,0,0
10,Tyrick Mitchell ,3,ENG,LB,22-338,90,0,0,0,0,0,0,0,0,76,1,2,2
11,Marc Guéhi ,6,ENG,CB,22-023,90,0,0,0,0,0,0,0,0,114,0,1,4
12,Joachim Andersen ,16,DEN,CB,26-066,90,0,0,0,0,0,0,0,0,123,6,2,0
13,Nathaniel Clyne ,17,ENG,RB,31-122,90,0,0,0,0,0,0,1,0,73,0,1,0
14,Vicente Guaita ,13,ESP,GK,35-207,90,0,0,0,0,0,0,0,0,40,0,0,0
15,Gabriel Jesus ,9,BRA,FW,25-124,82,0,0,0,0,1,0,0,0,38,1,1,0
16,   Eddie Nketiah ,14,ENG,FW,23-067,8,0,0,0,0,0,0,0,0,4,0,0,0
17,Martinelli ,11,BRA,LW,21-048,90,1,0,0,0,2,1,0,0,35,0,0,1
18,Bukayo Saka ,7,ENG,RW,20-334,90,0,0,0,0,3,0,0,0,48,2,0,3
19,Granit Xhaka ,34,SUI,LM,29-312,90,0,0,0,0,0,0,1,0,61,1,2,2
20,Thomas Partey ,5,GHA,CM,29-053,90,0,0,0,0,1,0,0,0,64,6,1,3
21,Martin Ødegaard ,8,NOR,RM,23-231,89,0,0,0,0,2,0,0,0,51,2,0,0
22,   Albert Sambi Lokonga ,23,BEL,"CM,RW",22-287,1,0,0,0,0,0,0,0,0,1,0,0,0
23,Oleksandr Zinchenko ,35,UKR,LB,25-233,82,0,1,0,0,1,1,0,0,68,5,3,0
24,   Kieran Tierney ,3,SCO,LB,25-061,8,0,0,0,0,0,0,0,0,7,2,0,0
25,Gabriel Dos Santos ,6,BRA,CB,24-229,90,0,0,0,0,0,0,0,0,67,1,1,2
26,William Saliba ,12,FRA,CB,21-134,90,0,0,0,0,0,0,0,0,59,1,0,2
27,Ben White ,4,ENG,RB,24-301,90,0,0,0,0,0,0,1,0,63,8,1,4
28,Aaron Ramsdale ,1,ENG,GK,24-083,90,0,0,0,0,0,0,0,0,33,0,0,0
29,Aleksandar Mitrović ,9,SRB,FW,27-324,90,2,0,1,1,2,1,0,0,45,1,1,1
30,Bobby Reid ,14,JAM,"LW,RW",29-185,89,0,0,0,0,1,1,1,0,37,2,0,0
31,   Shane Duffy ,5,IRL,RW,30-217,1,0,0,0,0,0,0,0,0,0,0,0,0
32,Neeskens Kebano ,7,COD,RW,30-149,65,0,0,0,0,1,0,0,0,23,1,0,0
33,   Manor Solomon ,11,ISR,"LW,RW",23-013,25,0,0,0,0,0,0,0,0,10,1,0,0
34,Andreas Pereira ,18,BRA,AM,26-217,88,0,0,0,0,1,0,0,0,37,0,0,0
35,   Tom Cairney ,10,SCO,AM,31-198,2,0,0,0,0,0,0,0,0,4,1,0,2
36,João Palhinha ,26,POR,DM,27-028,90,0,0,0,0,2,0,0,0,43,6,1,3
37,Harrison Reed ,6,ENG,DM,27-191,90,0,0,0,0,1,0,0,0,51,3,2,1
38,Antonee Robinson ,33,USA,LB,24-363,90,0,0,0,0,0,0,0,0,55,1,2,0
